Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.250000,-46.000000,0.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.500000,-54.750000,90.000000,top
"C5","22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",32.500000,-75.250000,90.000000,top
"C6","8.2nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.750000,-81.750000,90.000000,top
"C7","22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.500000,-65.750000,90.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.250000,-65.750000,90.000000,top
"C9","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",46.500000,-77.500000,180.000000,top
"C10","10pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",48.250000,-81.750000,90.000000,top
"C11","22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",46.000000,-62.500000,270.000000,top
"C12","1.2nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",51.750000,-80.000000,180.000000,top
"C13","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",42.750000,-62.500000,270.000000,top
"C14","22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.750000,-68.500000,180.000000,top
"C15","22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.750000,-65.750000,180.000000,top
"C16","22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.750000,-71.000000,180.000000,top
"D1","D","D_SOD-123",43.500000,-74.500000,180.000000,top
"IC1","TPS54331DR","SOIC127P600X175-8N",43.000000,-81.750000,-90.000000,top
"L1","10uH","L_Bourns_SRP7028A_7.3x6.6mm",51.000000,-72.500000,270.000000,top
"Q1","S8050_SMD","SOT-23",48.500000,-54.500000,0.000000,top
"Q2","S8050_SMD","SOT-23",48.500000,-49.000000,180.000000,top
"R1","12k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.250000,-50.500000,0.000000,top
"R2","12k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.250000,-55.525000,270.000000,top
"R3","12k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.000000,-53.275000,90.000000,top
"R4","12k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.250000,-48.000000,0.000000,top
"R5","12k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.000000,-54.750000,270.000000,top
"R6","12k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",45.000000,-51.500000,90.000000,top
"R8","470","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",43.250000,-46.250000,180.000000,top
"R10","12k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.000000,-58.250000,270.000000,top
"R11","36k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.000000,-82.250000,180.000000,top
"R12","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.000000,-71.750000,90.000000,top
"R13","510","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.000000,-76.250000,90.000000,top
"R14","2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",55.750000,-81.000000,270.000000,top
"U1","ESP8266-12E_ESP-12E","ESP-12E",64.500000,-47.750000,-90.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",51.250000,-61.750000,-90.000000,top
